Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"CPIAUCSL, PCESV, RSAFS, NASDAQCOM, REVOLSL, DJIA",0.7498014293050632,0.7463662086547895,4.573621334897852e-128,4435.295658082427,4463.966430019452,"const: 5.6473, CPIAUCSL: 0.2740, PCESV: -0.0024, RSAFS: -0.0001, NASDAQCOM: 0.0052, REVOLSL: 0.1329, DJIA: 0.0019"
"CPIAUCSL, PCESV, RSAFS, NASDAQCOM, SP500, DJIA",0.7253401786928745,0.7215691056314495,3.0418065761432274e-119,4476.711282396105,4505.38205433313,"const: -6.1019, CPIAUCSL: 0.4426, PCESV: 0.0066, RSAFS: 0.0000, NASDAQCOM: 0.0019, SP500: 0.0651, DJIA: -0.0065"
"CPIAUCSL, PCESV, RSAFS, REVOLSL, SP500, DJIA",0.7589821355419177,0.7556729657781912,1.3282825396368586e-131,4418.6972383434895,4447.368010280515,"const: 7.4539, CPIAUCSL: 0.1893, PCESV: 0.0022, RSAFS: -0.0001, REVOLSL: 0.1469, SP500: 0.1098, DJIA: -0.0103"
"CPIAUCSL, PCESV, PPIACO, NASDAQCOM, REVOLSL, SP500",0.766067462329583,0.7628555739405155,1.994612895689695e-134,4405.449040297137,4434.119812234162,"const: 55.2522, CPIAUCSL: -1.0685, PCESV: -0.0023, PPIACO: 1.0095, NASDAQCOM: 0.0032, REVOLSL: 0.1586, SP500: 0.0198"
"CPIAUCSL, PCESV, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7650236073991317,0.7617973869057559,5.262267734665807e-134,4407.4258521034735,4436.096624040499,"const: 54.2264, CPIAUCSL: -1.0936, PCESV: -0.0032, PPIACO: 1.0635, NASDAQCOM: 0.0041, REVOLSL: 0.1590, DJIA: 0.0022"
"CPIAUCSL, PCESV, PPIACO, NASDAQCOM, SP500, DJIA",0.7263990294013425,0.7226424943359147,1.3117680548895754e-119,4474.996294543567,4503.667066480592,"const: -6.3110, CPIAUCSL: 0.2562, PCESV: 0.0061, PPIACO: 0.2403, NASDAQCOM: 0.0023, SP500: 0.0530, DJIA: -0.0051"
"CPIAUCSL, PCESV, PPIACO, REVOLSL, SP500, DJIA",0.7647569869374506,0.7615271057512372,6.737262765888995e-134,4407.929359599111,4436.600131536136,"const: 55.1656, CPIAUCSL: -1.0064, PCESV: 0.0004, PPIACO: 0.8986, REVOLSL: 0.1559, SP500: 0.0603, DJIA: -0.0043"
"CPIAUCSL, PCESV, NASDAQCOM, REVOLSL, SP500, DJIA",0.7528401922234768,0.749446693718536,3.192844742155126e-129,4429.870083353586,4458.540855290611,"const: 39.0962, CPIAUCSL: -0.0936, PCESV: 0.0019, NASDAQCOM: 0.0014, REVOLSL: 0.1171, SP500: 0.0806, DJIA: -0.0074"
"CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.76674061513049,0.763537969113975,1.0645423152138365e-134,4404.169565905511,4432.840337842536,"const: 41.0434, CPIAUCSL: -0.8674, RSAFS: -0.0001, PPIACO: 0.9103, NASDAQCOM: 0.0029, REVOLSL: 0.1581, SP500: 0.0205"
"CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7643550077066887,0.7611196073548355,9.773345863493083e-134,4408.687411703999,4437.358183641024,"const: 43.3480, CPIAUCSL: -0.9253, RSAFS: -0.0001, PPIACO: 0.9582, NASDAQCOM: 0.0036, REVOLSL: 0.1518, DJIA: 0.0022"
"CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, SP500, DJIA",0.7217850209284651,0.7179651356322885,5.0037461698468795e-118,4482.421478639965,4511.09225057699,"const: -7.6515, CPIAUCSL: 0.1944, RSAFS: 0.0000, PPIACO: 0.4149, NASDAQCOM: 0.0048, SP500: 0.0088, DJIA: -0.0001"
"CPIAUCSL, RSAFS, PPIACO, REVOLSL, SP500, DJIA",0.7673524249343,0.764158179052391,6.00663747347069e-135,4403.003480260133,4431.674252197158,"const: 31.5450, CPIAUCSL: -0.6874, RSAFS: -0.0001, PPIACO: 0.7825, REVOLSL: 0.1712, SP500: 0.0757, DJIA: -0.0060"
"CPIAUCSL, RSAFS, NASDAQCOM, REVOLSL, SP500, DJIA",0.7595488238096623,0.7562474346628842,7.953460607821242e-132,4417.6520633236105,4446.322835260636,"const: 4.1549, CPIAUCSL: 0.2440, RSAFS: -0.0001, NASDAQCOM: 0.0022, REVOLSL: 0.1499, SP500: 0.0916, DJIA: -0.0085"
"CPIAUCSL, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7660961744635312,0.7628846802914058,1.9419737786187847e-134,4405.394541807958,4434.0653137449835,"const: 56.3427, CPIAUCSL: -1.0179, PPIACO: 0.9102, NASDAQCOM: 0.0021, REVOLSL: 0.1515, SP500: 0.0459, DJIA: -0.0030"
"PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7622946055870258,0.7590309159612183,6.513620680850441e-133,4412.55272731185,4441.223499248875,"const: -6.7305, PCESV: -0.0037, RSAFS: -0.0001, PPIACO: 0.4675, NASDAQCOM: 0.0043, REVOLSL: 0.1484, SP500: 0.0183"
"PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7600652755178514,0.7567709772412087,4.978604802477983e-132,4416.69739481041,4445.368166747435,"const: -8.1227, PCESV: -0.0044, RSAFS: -0.0001, PPIACO: 0.4945, NASDAQCOM: 0.0052, REVOLSL: 0.1445, DJIA: 0.0020"
"PCESV, RSAFS, PPIACO, NASDAQCOM, SP500, DJIA",0.7265166094745983,0.7227616887808856,1.1945588605570658e-119,4474.805444440589,4503.476216377614,"const: 8.7634, PCESV: 0.0060, RSAFS: 0.0000, PPIACO: 0.3749, NASDAQCOM: 0.0023, SP500: 0.0438, DJIA: -0.0040"
"PCESV, RSAFS, PPIACO, REVOLSL, SP500, DJIA",0.7637534877433694,0.7605098285361845,1.703274700027942e-133,4409.819345658274,4438.490117595299,"const: -2.0109, PCESV: 0.0005, RSAFS: -0.0002, PPIACO: 0.3479, REVOLSL: 0.1521, SP500: 0.0945, DJIA: -0.0084"
"PCESV, RSAFS, NASDAQCOM, REVOLSL, SP500, DJIA",0.7585227269974789,0.75520724956495,2.0112843477886748e-131,4419.54274927007,4448.213521207095,"const: 27.5080, PCESV: 0.0022, RSAFS: -0.0001, NASDAQCOM: 0.0014, REVOLSL: 0.1519, SP500: 0.0995, DJIA: -0.0093"
"PCESV, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7546387877650331,0.7512699839357201,6.50382745753402e-130,4426.627257411526,4455.298029348552,"const: 14.8145, PCESV: -0.0006, PPIACO: 0.2018, NASDAQCOM: 0.0022, REVOLSL: 0.0994, SP500: 0.0569, DJIA: -0.0049"
"RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7650722727245689,0.7618467204049978,5.030054882541902e-134,4407.333886940125,4436.00465887715,"const: -1.7555, RSAFS: -0.0002, PPIACO: 0.3579, NASDAQCOM: 0.0021, REVOLSL: 0.1485, SP500: 0.0800, DJIA: -0.0071"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM",0.7711403385022081,0.7674659861387114,2.7456377757347475e-135,4397.714877790803,4430.481474290261,"const: 34.7169, PI: 0.0063, TTLCONS: 0.0001, CPIAUCSL: -1.0096, PCESV: 0.0052, RSAFS: -0.0003, PPIACO: 1.0697, NASDAQCOM: 0.0033"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, REVOLSL",0.768971833531517,0.7652626657212431,2.130405042144221e-134,4401.902087298313,4434.66868379777,"const: 72.3121, PI: 0.0123, TTLCONS: 0.0001, CPIAUCSL: -1.6767, PCESV: 0.0050, RSAFS: -0.0003, PPIACO: 1.1776, REVOLSL: 0.0327"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, SP500",0.7762928645063253,0.7727012361841792,1.9495690877229187e-137,4387.604456901653,4420.371053401111,"const: 13.9656, PI: 0.0008, TTLCONS: 0.0001, CPIAUCSL: -0.6898, PCESV: 0.0072, RSAFS: -0.0003, PPIACO: 1.1082, SP500: 0.0126"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, PPIACO, DJIA",0.7760498152971548,0.7724542848088063,2.4683506751248174e-137,4388.086583986844,4420.853180486301,"const: 17.5692, PI: 0.0012, TTLCONS: 0.0001, CPIAUCSL: -0.7768, PCESV: 0.0069, RSAFS: -0.0003, PPIACO: 1.1646, DJIA: 0.0015"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, NASDAQCOM, REVOLSL",0.7551567861132202,0.7512258170829279,6.420095754960345e-129,4427.688908673966,4460.455505173423,"const: 15.4110, PI: 0.0066, TTLCONS: 0.0001, CPIAUCSL: 0.0285, PCESV: 0.0020, RSAFS: -0.0003, NASDAQCOM: 0.0053, REVOLSL: 0.0444"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, NASDAQCOM, SP500",0.75720597453515,0.7533079053189713,1.0345451298941253e-129,4423.957261696915,4456.723858196373,"const: -15.1502, PI: 0.0004, TTLCONS: 0.0001, CPIAUCSL: 0.5272, PCESV: 0.0059, RSAFS: -0.0003, NASDAQCOM: 0.0021, SP500: 0.0105"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, NASDAQCOM, DJIA",0.7558440888668462,0.7519241545137909,3.4864439433463976e-129,4426.440797550869,4459.207394050327,"const: -11.1203, PI: 0.0013, TTLCONS: 0.0001, CPIAUCSL: 0.4667, PCESV: 0.0053, RSAFS: -0.0003, NASDAQCOM: 0.0027, DJIA: 0.0010"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, REVOLSL, SP500",0.7626192608257812,0.7588081021693145,7.720908267813289e-132,4413.94590282991,4446.712499329367,"const: -5.9523, PI: -0.0003, TTLCONS: 0.0001, CPIAUCSL: 0.3946, PCESV: 0.0036, RSAFS: -0.0003, REVOLSL: 0.0762, SP500: 0.0198"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, REVOLSL, DJIA",0.7583942011832665,0.754515209000429,3.5641965265899584e-130,4421.779004548658,4454.545601048116,"const: 3.2298, PI: 0.0019, TTLCONS: 0.0001, CPIAUCSL: 0.2572, PCESV: 0.0036, RSAFS: -0.0003, REVOLSL: 0.0627, DJIA: 0.0020"
"PI, TTLCONS, CPIAUCSL, PCESV, RSAFS, SP500, DJIA",0.7610388229719931,0.7572022903132866,3.263453042997023e-131,4416.8921771681835,4449.658773667641,"const: -15.9034, PI: 0.0005, TTLCONS: 0.0001, CPIAUCSL: 0.5001, PCESV: 0.0086, RSAFS: -0.0003, SP500: 0.0712, DJIA: -0.0070"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, NASDAQCOM, REVOLSL",0.7593909648059852,0.7555279757088336,1.4520351110037066e-130,4419.943458864083,4452.710055363541,"const: 94.4517, PI: 0.0072, TTLCONS: 0.0001, CPIAUCSL: -1.7021, PCESV: 0.0006, PPIACO: 1.1128, NASDAQCOM: 0.0049, REVOLSL: 0.0708"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, NASDAQCOM, SP500",0.7574967892749971,0.7536033891028067,7.974330947952909e-130,4423.425126954251,4456.191723453709,"const: 61.1999, PI: 0.0004, TTLCONS: 0.0001, CPIAUCSL: -1.0954, PCESV: 0.0059, PPIACO: 1.0516, NASDAQCOM: 0.0010, SP500: 0.0106"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, NASDAQCOM, DJIA",0.7577709934691149,0.7538819956578393,6.236940807144962e-130,4422.922801460543,4455.689397960001,"const: 61.7138, PI: 0.0003, TTLCONS: 0.0001, CPIAUCSL: -1.1280, PCESV: 0.0055, PPIACO: 1.0951, NASDAQCOM: 0.0012, DJIA: 0.0013"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, REVOLSL, SP500",0.7714373231537335,0.7677677388924402,2.070715547108254e-135,4397.138337500783,4429.90493400024,"const: 68.9311, PI: -0.0014, TTLCONS: 0.0000, CPIAUCSL: -1.3503, PCESV: 0.0017, PPIACO: 1.2311, REVOLSL: 0.1132, SP500: 0.0218"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, REVOLSL, DJIA",0.7706384158790976,0.766956005124863,4.4192835339863224e-135,4398.68756832369,4431.454164823148,"const: 74.1069, PI: -0.0006, TTLCONS: 0.0001, CPIAUCSL: -1.4823, PCESV: 0.0013, PPIACO: 1.3193, REVOLSL: 0.1079, DJIA: 0.0025"
"PI, TTLCONS, CPIAUCSL, PCESV, PPIACO, SP500, DJIA",0.7573413915461453,0.7534454964562899,9.164791119108739e-130,4423.709554092752,4456.47615059221,"const: 65.7915, PI: 0.0009, TTLCONS: 0.0001, CPIAUCSL: -1.2014, PCESV: 0.0061, PPIACO: 1.1104, SP500: 0.0023, DJIA: 0.0011"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, REVOLSL, SP500",0.7496031057100867,0.7455829720861661,8.376925953395243e-127,4437.647461831903,4470.41405833136,"const: 32.3557, PI: -0.0018, TTLCONS: 0.0000, CPIAUCSL: 0.0568, PCESV: 0.0007, NASDAQCOM: 0.0030, REVOLSL: 0.0954, SP500: 0.0170"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, REVOLSL, DJIA",0.7472528588584324,0.743194991913499,6.370748483606331e-126,4441.795447769627,4474.562044269084,"const: 36.2485, PI: -0.0006, TTLCONS: 0.0000, CPIAUCSL: -0.0014, PCESV: 0.0002, NASDAQCOM: 0.0038, REVOLSL: 0.0877, DJIA: 0.0017"
"PI, TTLCONS, CPIAUCSL, PCESV, NASDAQCOM, SP500, DJIA",0.7417957167417706,0.7376502351298265,6.5873184124603e-124,4451.279962812746,4484.0465593122035,"const: 35.1662, PI: 0.0004, TTLCONS: 0.0000, CPIAUCSL: 0.0070, PCESV: 0.0071, NASDAQCOM: 0.0006, SP500: 0.0548, DJIA: -0.0052"
"PI, TTLCONS, CPIAUCSL, PCESV, REVOLSL, SP500, DJIA",0.7532609975290194,0.749299591526045,3.4282361327058114e-128,4431.113500843186,4463.880097342643,"const: 36.2568, PI: -0.0016, TTLCONS: 0.0000, CPIAUCSL: -0.0317, PCESV: 0.0036, REVOLSL: 0.1027, SP500: 0.0866, DJIA: -0.0079"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, REVOLSL",0.775405621328843,0.7717997482767832,4.607403078268488e-137,4389.361919112665,4422.128515612123,"const: 45.6025, PI: 0.0075, TTLCONS: 0.0001, CPIAUCSL: -1.2357, RSAFS: -0.0003, PPIACO: 1.1388, NASDAQCOM: 0.0053, REVOLSL: 0.0703"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, SP500",0.768488771068093,0.76477184766781,3.3538071197487227e-134,4402.829488569952,4435.59608506941,"const: 0.7252, PI: 0.0025, TTLCONS: 0.0001, CPIAUCSL: -0.4660, RSAFS: -0.0003, PPIACO: 1.0376, NASDAQCOM: 0.0031, SP500: 0.0076"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, NASDAQCOM, DJIA",0.7692641133289563,0.7655596380842377,1.618151418689882e-134,4401.3400156233465,4434.106612122804,"const: -0.0678, PI: 0.0020, TTLCONS: 0.0001, CPIAUCSL: -0.4716, RSAFS: -0.0003, PPIACO: 1.0760, NASDAQCOM: 0.0031, DJIA: 0.0010"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, REVOLSL, SP500",0.7864665791744658,0.7830382903080009,7.894873537042492e-142,4366.9387400394,4399.705336538857,"const: 21.7355, PI: -0.0004, TTLCONS: 0.0001, CPIAUCSL: -0.9204, RSAFS: -0.0003, PPIACO: 1.2694, REVOLSL: 0.1194, SP500: 0.0226"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, REVOLSL, DJIA",0.7855518062961278,0.782108830709139,1.9990034628747433e-141,4368.836764453121,4401.603360952578,"const: 27.8397, PI: 0.0003, TTLCONS: 0.0001, CPIAUCSL: -1.0618, RSAFS: -0.0003, PPIACO: 1.3576, REVOLSL: 0.1115, DJIA: 0.0026"
"PI, TTLCONS, CPIAUCSL, RSAFS, PPIACO, SP500, DJIA",0.7666732628055642,0.7629271913368463,1.830370185404869e-133,4406.297749882962,4439.06434638242,"const: 15.9988, PI: 0.0042, TTLCONS: 0.0001, CPIAUCSL: -0.8069, RSAFS: -0.0003, PPIACO: 1.2204, SP500: -0.0187, DJIA: 0.0036"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, REVOLSL, SP500",0.7644906991560269,0.760709586527798,1.3834299022385979e-132,4410.43166955732,4443.198266056777,"const: -15.3783, PI: -0.0013, TTLCONS: 0.0001, CPIAUCSL: 0.5325, RSAFS: -0.0003, NASDAQCOM: 0.0035, REVOLSL: 0.0949, SP500: 0.0168"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, REVOLSL, DJIA",0.7620482476738064,0.7582279213749914,1.30115086117771e-131,4415.012650699946,4447.7792471994035,"const: -10.3651, PI: -0.0001, TTLCONS: 0.0001, CPIAUCSL: 0.4604, RSAFS: -0.0003, NASDAQCOM: 0.0042, REVOLSL: 0.0843, DJIA: 0.0016"
"PI, TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM, SP500, DJIA",0.7512042629178356,0.747209835946333,2.07988128188497e-127,4434.799197680784,4467.565794180242,"const: -24.0860, PI: 0.0025, TTLCONS: 0.0001, CPIAUCSL: 0.6280, RSAFS: -0.0003, NASDAQCOM: 0.0036, SP500: 0.0215, DJIA: -0.0017"
"PI, TTLCONS, CPIAUCSL, RSAFS, REVOLSL, SP500, DJIA",0.7666162675680841,0.7628692810382138,1.930112556362243e-133,4406.406193499353,4439.172789998811,"const: -13.0343, PI: -0.0000, TTLCONS: 0.0001, CPIAUCSL: 0.4465, RSAFS: -0.0003, REVOLSL: 0.1192, SP500: 0.0867, DJIA: -0.0077"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7726033402178767,0.7689524764140353,6.815878809829585e-136,4394.867465238922,4427.634061738379,"const: 62.0625, PI: -0.0022, TTLCONS: 0.0000, CPIAUCSL: -1.2315, PPIACO: 1.2056, NASDAQCOM: 0.0023, REVOLSL: 0.1209, SP500: 0.0196"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7726004568755799,0.7689495467795456,6.8346817782227e-136,4394.87309503078,4427.6396915302375,"const: 64.9930, PI: -0.0021, TTLCONS: 0.0000, CPIAUCSL: -1.3150, PPIACO: 1.2780, NASDAQCOM: 0.0026, REVOLSL: 0.1149, DJIA: 0.0022"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, SP500, DJIA",0.7541809161215913,0.7502342794538187,1.523162778514892e-128,4429.455039267527,4462.221635766985,"const: 58.0300, PI: 0.0017, TTLCONS: 0.0001, CPIAUCSL: -1.1693, PPIACO: 1.2260, NASDAQCOM: 0.0036, SP500: -0.0429, DJIA: 0.0060"
"PI, TTLCONS, CPIAUCSL, PPIACO, REVOLSL, SP500, DJIA",0.7710083040978952,0.7673318319159808,3.112171735874964e-135,4397.970957744232,4430.737554243689,"const: 67.7415, PI: -0.0010, TTLCONS: 0.0000, CPIAUCSL: -1.3458, PPIACO: 1.2356, REVOLSL: 0.1234, SP500: 0.0237, DJIA: -0.0002"
"PI, TTLCONS, CPIAUCSL, NASDAQCOM, REVOLSL, SP500, DJIA",0.752748391484288,0.7487787555677513,5.380517888660399e-128,4432.034964370994,4464.801560870452,"const: 29.8566, PI: -0.0017, TTLCONS: 0.0000, CPIAUCSL: 0.0605, NASDAQCOM: 0.0023, REVOLSL: 0.1166, SP500: 0.0680, DJIA: -0.0059"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL",0.7675026879151465,0.7637699329046099,8.444098558506986e-134,4404.7166158114,4437.483212310857,"const: -25.3877, PI: 0.0013, TTLCONS: 0.0001, PCESV: 0.0014, RSAFS: -0.0004, PPIACO: 0.6677, NASDAQCOM: 0.0067, REVOLSL: 0.0393"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, NASDAQCOM, SP500",0.7745987705347264,0.7709799434561555,1.0042581663589002e-136,4390.9541219253915,4423.720718424849,"const: -26.4179, PI: -0.0035, TTLCONS: 0.0001, PCESV: 0.0063, RSAFS: -0.0003, PPIACO: 0.8876, NASDAQCOM: 0.0017, SP500: 0.0138"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, NASDAQCOM, DJIA",0.7742117324074149,0.770586691413956,1.4579268134958794e-136,4391.715863817866,4424.482460317324,"const: -27.8984, PI: -0.0037, TTLCONS: 0.0001, PCESV: 0.0057, RSAFS: -0.0003, PPIACO: 0.9181, NASDAQCOM: 0.0022, DJIA: 0.0016"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, REVOLSL, SP500",0.783541256552532,0.7800660014971827,1.5189545180446036e-140,4372.98007470065,4405.746671200108,"const: -31.3086, PI: -0.0065, TTLCONS: 0.0001, PCESV: 0.0031, RSAFS: -0.0003, PPIACO: 0.9515, REVOLSL: 0.0933, SP500: 0.0257"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, REVOLSL, DJIA",0.7805748694245473,0.7770519888877855,2.9248206810154065e-139,4379.023410079563,4411.790006579021,"const: -33.8156, PI: -0.0062, TTLCONS: 0.0001, PCESV: 0.0028, RSAFS: -0.0003, PPIACO: 0.9856, REVOLSL: 0.0821, DJIA: 0.0029"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, SP500, DJIA",0.7741958496709063,0.7705705536793841,1.4803799745369622e-136,4391.7470952324475,4424.513691731905,"const: -24.6737, PI: -0.0031, TTLCONS: 0.0001, PCESV: 0.0076, RSAFS: -0.0004, PPIACO: 0.8342, SP500: 0.0338, DJIA: -0.0021"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, REVOLSL, SP500",0.7629874174586571,0.759182169573819,5.5111323334742364e-132,4413.256763373976,4446.023359873434,"const: 26.2879, PI: 0.0034, TTLCONS: 0.0001, PCESV: 0.0022, RSAFS: -0.0003, NASDAQCOM: 0.0024, REVOLSL: 0.0847, SP500: 0.0136"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, REVOLSL, DJIA",0.7608525993352063,0.7570130768474688,3.8651482246324683e-131,4417.238053827889,4450.004650327347,"const: 25.4536, PI: 0.0040, TTLCONS: 0.0001, PCESV: 0.0018, RSAFS: -0.0003, NASDAQCOM: 0.0032, REVOLSL: 0.0768, DJIA: 0.0013"
"PI, TTLCONS, PCESV, RSAFS, NASDAQCOM, SP500, DJIA",0.7590921449121181,0.755224358247863,1.9013442200370646e-130,4420.494534236876,4453.261130736333,"const: 23.3166, PI: 0.0053, TTLCONS: 0.0001, PCESV: 0.0088, RSAFS: -0.0003, NASDAQCOM: -0.0003, SP500: 0.0670, DJIA: -0.0069"
"PI, TTLCONS, PCESV, RSAFS, REVOLSL, SP500, DJIA",0.7687818861913428,0.7650696687678094,2.5468577539269313e-134,4402.266986389481,4435.033582888938,"const: 22.7659, PI: 0.0029, TTLCONS: 0.0001, PCESV: 0.0050, RSAFS: -0.0003, REVOLSL: 0.0945, SP500: 0.0897, DJIA: -0.0087"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7646357928394278,0.7608570096969416,1.210083771892614e-132,4410.1580436413415,4442.924640140799,"const: -6.3245, PI: -0.0102, TTLCONS: 0.0000, PCESV: -0.0002, PPIACO: 0.7673, NASDAQCOM: 0.0035, REVOLSL: 0.1111, SP500: 0.0240"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7634040075905253,0.759605448079364,3.7607452893374136e-132,4412.475670817652,4445.2422673171095,"const: -8.6329, PI: -0.0104, TTLCONS: 0.0000, PCESV: -0.0011, PPIACO: 0.8150, NASDAQCOM: 0.0043, REVOLSL: 0.1061, DJIA: 0.0027"
"PI, TTLCONS, PCESV, PPIACO, NASDAQCOM, SP500, DJIA",0.7512040494980534,0.7472096191000863,2.0802687932776896e-127,4434.7995785488165,4467.566175048274,"const: 0.2127, PI: -0.0068, TTLCONS: 0.0001, PCESV: 0.0052, PPIACO: 0.6605, NASDAQCOM: 0.0021, SP500: 0.0184, DJIA: -0.0004"
"PI, TTLCONS, PCESV, PPIACO, REVOLSL, SP500, DJIA",0.7629563545048241,0.7591506079028374,5.670278415960114e-132,4413.314950359849,4446.081546859306,"const: -2.1601, PI: -0.0093, TTLCONS: 0.0000, PCESV: 0.0025, PPIACO: 0.6540, REVOLSL: 0.1080, SP500: 0.0635, DJIA: -0.0043"
"PI, TTLCONS, PCESV, NASDAQCOM, REVOLSL, SP500, DJIA",0.7536255731017241,0.749670020376293,2.4865557445375246e-128,4430.456972044196,4463.2235685436535,"const: 34.5100, PI: -0.0018, TTLCONS: 0.0000, PCESV: 0.0028, NASDAQCOM: 0.0013, REVOLSL: 0.1044, SP500: 0.0780, DJIA: -0.0070"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, REVOLSL, SP500",0.7855005764586817,0.7820567783743027,2.1055122929703396e-141,4368.942819584423,4401.709416083881,"const: -31.1829, PI: -0.0066, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9724, NASDAQCOM: 0.0033, REVOLSL: 0.1099, SP500: 0.0220"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, REVOLSL, DJIA",0.7844953934387675,0.7810354570948945,5.815794142741208e-141,4371.01862372824,4403.785220227697,"const: -33.0677, PI: -0.0068, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 1.0123, NASDAQCOM: 0.0038, REVOLSL: 0.1006, DJIA: 0.0025"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, SP500, DJIA",0.7686801896180272,0.7649663394513442,2.802167874807078e-134,4402.462227803939,4435.228824303396,"const: -30.3236, PI: -0.0019, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9733, NASDAQCOM: 0.0041, SP500: -0.0210, DJIA: 0.0037"
"PI, TTLCONS, RSAFS, PPIACO, REVOLSL, SP500, DJIA",0.782894611278718,0.779408974303835,2.9044644578560343e-140,4374.3044956716685,4407.071092171126,"const: -29.7813, PI: -0.0053, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9007, REVOLSL: 0.1192, SP500: 0.0516, DJIA: -0.0030"
"PI, TTLCONS, RSAFS, NASDAQCOM, REVOLSL, SP500, DJIA",0.766187056887662,0.762433179360629,2.8769686424550727e-133,4407.2219938065755,4439.988590306033,"const: 23.6658, PI: 0.0039, TTLCONS: 0.0001, RSAFS: -0.0003, NASDAQCOM: 0.0020, REVOLSL: 0.1164, SP500: 0.0695, DJIA: -0.0064"
"PI, TTLCONS, PPIACO, NASDAQCOM, REVOLSL, SP500, DJIA",0.7648606486378842,0.7610854755655566,9.831966350744655e-133,4409.7336643553335,4442.500260854791,"const: -4.8611, PI: -0.0099, TTLCONS: 0.0000, PPIACO: 0.7311, NASDAQCOM: 0.0031, REVOLSL: 0.1143, SP500: 0.0383, DJIA: -0.0017"
"PI, CPIAUCSL, PCESV, RSAFS, PPIACO, NASDAQCOM, REVOLSL",0.7509057864902189,0.7469065674659793,2.6985047930626722e-127,4435.331538410215,4468.098134909673,"const: 61.9377, PI: 0.0086, CPIAUCSL: -1.1857, PCESV: -0.0033, RSAFS: -0.0001, PPIACO: 0.8101, NASDAQCOM: 0.0073, REVOLSL: 0.1266"
